GroupeAD,samAccountName,nombre de membres
GRP_s0221,s0221,0
GRP_s0223,s0223,0
GRP_s0225,s0225,0
GRP_s0226,s0226,0
GRP_s0227,s0227,0
GRP_s0228,s0228,0
GRP_s0229,s0229,0
GRP_s0232,s0232,0
GRP_s0233,s0233,0
GRP_s0234,s0234,0
GRP_s0240,s0240,0
GRP_s0260,s0260,0
GRP_s0261,s0261,0
GRP_s0262,s0262,0
GRP_s0263,s0263,0
GRP_s0264,s0264,0
GRP_s0265,s0265,0
GRP_s0270,s0270,0
GRP_s0271,s0271,0
GRP_s0273,s0273,0
GRP_s0274,s0274,0
GRP_s0275,s0275,0
GRP_s0276,s0276,0
GRP_s0277,s0277,0
GRP_s0278,s0278,0
GRP_s0280,s0280,0
GRP_s0281,s0281,0
GRP_s0282,s0282,0
GRP_s0283,s0283,0
GRP_s0290,s0290,0
GRP_s0301,s0301,0
GRP_s0306,s0306,0
GRP_s0312,s0312,0
GRP_s0313,s0313,0
GRP_s0314,s0314,0
GRP_s0315,s0315,0
GRP_s0316,s0316,0
GRP_s0317,s0317,0
GRP_s0320,s0320,0
GRP_s0405,s0405,0
GRP_s0406,s0406,0
GRP_s0407,s0407,0
GRP_s0410,s0410,0
GRP_s0413,s0413,0
GRP_s0414,s0414,0
GRP_s0415,s0415,0
GRP_s0417,s0417,0
GRP_s0418,s0418,0
GRP_s0425,s0425,0
GRP_s0426,s0426,0
GRP_s0427,s0427,0
GRP_s0428,s0428,0
GRP_s0439,s0439,0
GRP_s0444,s0444,0
GRP_s0446,s0446,0
GRP_s0447,s0447,0
GRP_s0448,s0448,0
GRP_s0449,s0449,0
GRP_s0450,s0450,0
GRP_s0451,s0451,0
GRP_s0452,s0452,0
GRP_s0453,s0453,0
GRP_s0455,s0455,0
GRP_s0456,s0456,0
GRP_s0457,s0457,0
GRP_s0463,s0463,0
GRP_s0466,s0466,0
GRP_s0467,s0467,0
GRP_s0468,s0468,0
GRP_s0469,s0469,0
GRP_s0472,s0472,0
GRP_s0477,s0477,0
GRP_s0480,s0480,3
GRP_s0481,s0481,0
GRP_s0482,s0482,0
GRP_s0493,s0493,0
GRP_s0495,s0495,0
GRP_s0496,s0496,0
GRP_s0497,s0497,0
GRP_s0498,s0498,0
GRP_s0499,s0499,0
GRP_s0500,s0500,0
GRP_s0501,s0501,0
GRP_s0503,s0503,0
GRP_s0504,s0504,0
GRP_s0505,s0505,0
GRP_s0506,s0506,0
GRP_s0507,s0507,0
GRP_s0520,s0520,0
GRP_s0521,s0521,0
GRP_s0522,s0522,0
GRP_s0523,s0523,0
GRP_s0530,s0530,0
GRP_s0531,s0531,0
GRP_s0532,s0532,0
GRP_s0533,s0533,0
GRP_s0534,s0534,0
GRP_s0535,s0535,0
GRP_s0536,s0536,0
GRP_s0537,s0537,0
GRP_s0538,s0538,0
GRP_s0709,s0709,0
GRP_s0715,s0715,0
GRP_s0717,s0717,0
GRP_s0718,s0718,0
GRP_s0719,s0719,2
GRP_s0722,s0722,0
GRP_s0750,s0750,0
GRP_s0751,s0751,0
GRP_s0752,s0752,0
GRP_s0753,s0753,0
GRP_s0754,s0754,0
GRP_s0755,s0755,0
GRP_s0756,s0756,0
GRP_s0757,s0757,0
GRP_s0758,s0758,0
GRP_s0759,s0759,0
GRP_s0760,s0760,0
GRP_s0761,s0761,0
GRP_s0763,s0763,0
GRP_s0771,s0771,0
GRP_s0776,s0776,1
GRP_s0778,s0778,0
GRP_s0781,s0781,0
GRP_s0794,s0794,2
GRP_s0795,s0795,0
GRP_s0800,s0800,0
GRP_s0809,s0809,0
GRP_s0810,s0810,0
GRP_s0840,s0840,0
GRP_s0843,s0843,0
GRP_s0846,s0846,0
GRP_s0847,s0847,0
GRP_s0849,s0849,0
GRP_s0850,s0850,0
GRP_s0851,s0851,0
GRP_s0853,s0853,0
GRP_s0855,s0855,0
GRP_s0856,s0856,0
GRP_s0900,s0900,0
GRP_s0901,s0901,0
GRP_s0902,s0902,0
GRP_s0903,s0903,0
GRP_s0904,s0904,0
GRP_s0907,s0907,0
GRP_s0910,s0910,0
GRP_s0911,s0911,0
GRP_s0912,s0912,0
GRP_s0913,s0913,0
GRP_s0915,s0915,0
GRP_s0920,s0920,0
GRP_s0921,s0921,0
GRP_s0923,s0923,0
GRP_s0930,s0930,0
GRP_s0940,s0940,0
GRP_s0960,s0960,0
GRP_s0970,s0970,0
GRP_s0972,s0972,0
GRP_s0980,s0980,0
GRP_s0981,s0981,0
GRP_s0982,s0982,0
GRP_s0983,s0983,0
GRP_s0984,s0984,0
GRP_s0986,s0986,0
GRP_s0987,s0987,0
GRP_s0995,s0995,0
GRP_s0999,s0999,0
GRP_s0300,s0300,0
GRP_s0310,s0310,0
GRP_s0235,s0235,0
GRP_s0408,s0408,0
GRP_s0988,s0988,0
Partages_CarnetsSanitaires,Partages_CarnetsSanitaires,13
Partages_CadreImagerie,Partages_CadreImagerie,6
Partages_CRIIIRrééducateurs,Partages_CRIIIRrééducateurs,12
Partages_Projets_TempsTravailGTT,Partages_Projets_TempsTravailGTT,9
Partages_Drm_Direction,Partages_Drm_Direction,7
Partages_DRM_Secondaire,Partages_DRM_Secondaire,12
partageimagerie,partageimagerie,54
GRP_s4002,s4002,0
GRP_upmr,upmr,2
Partages_Projets_GTT_EQUITIME_Matrices Cycles CGDSàValider_RO,Partages_Projets_GTT_EQUITIME_Matrices Cycles CGDSàValider_RO,23
Partages_GroupeCGDS,Partages_GroupeCGDS,18
partagecertificationv2014edp,GRP_partagecertificationv2014edp,7
Partages_Certification-v2014-CQ-EDP,Partages_Certification-v2014-CQ-EDP,71
Partages_Standard-Concierge,Partages_Standard-Concierge,4
_partageservicesinterieursgeneraux,_partageservicesinterieursgeneraux,2
Partages_MaintenanceBlocsOpératoires,Partages_MaintenanceBlocsOpératoires,101
Partages_PoleGériatrie,Partages_PoleGériatrie,23
Partages_Pharma-Docs,Partages_Pharma-Docs,54
Partages_PôleMédico-Technique,Partages_PôleMédico-Technique,9
Partages_CadresPsy,Partages_CadresPsy,3
Partages_Facturation-UnitéDeBilan,Partages_Facturation-UnitéDeBilan,5
Partage_Comite_Ethique_Hospitalier,Partage_Comite_Ethique_Hospitalier,6
Partages_DRH-CGDS,Partages_DRH-CGDS,10
Partage_Thomas,Partage_Thomas,1
P0700,P0700,0
GRP_s0272_ARCHIVES_RO,GRP_s0272_ARCHIVES_RO,6
GRP_s0272_ARCHIVES_RW,GRP_s0272_ARCHIVES_RW,2
GRP_Database_Invivo,GRP_Database_Invivo,2
Partage_Acculink,Partage_Acculink,3
Partage_DoseWare,Partage_DoseWare,4
Partages_Projets_AES,Partages_Projets_AES,12
Partages_Dossier_Obstetrique,Partages_Dossier_Obstetrique,3
Partages_GestionDesCarrières,Partages_GestionDesCarrières,6
Partages_CHPG-MAN,Partages_CHPG-MAN,28
Partages_NRCF,Partages_NRCF,20
Partages_Partage0770-0430,Partages_Partage0770-0430,14
Partages_PôleARUA,Partages_PôleARUA,10
PartageCadreNuit,PartageCadreNuit,3
Partages_CadresPôleID2,Partages_CadresPôleID2,8
Partages_CadresDeSantéEnMissionTranversale,Partages_CadresDeSantéEnMissionTranversale,9
Partages_CadresMPPME,Partages_CadresMPPME,4
Partages_CoordinationTravaux,Partages_CoordinationTravaux,4
Partages_PartageCS700-S0082-S0094,Partages_PartageCS700-S0082-S0094,3
Partages_ListingsInscriptionFGSU,Partages_ListingsInscriptionFGSU,4
Partages_Projets_PASSI,Partages_Projets_PASSI,8
Partages_PlanBlancConfidentiel,Partages_PlanBlancConfidentiel,5
Partages_Projets_DPA_GAM,Partages_Projets_DPA_GAM,8
Partages_Projets_RSSI,Partages_Projets_RSSI,5
GRP_Atelsecr,GRP_Atelsecr,0
GRP_Cap II RDC,GRP_Cap II RDC,3
GRP_Cellgest,GRP_Cellgest,9
Partages_Cadres720-722,Partages_Cadres720-722,2
Partages_ComitéEthiqueHospitalière,Partages_ComitéEthiqueHospitalière,7
Partages_CRIII,Partages_CRIII,50
GRP_PartageDRH - CGDS,GRP_PartageDRH - CGDS,11
GRP_PartageDRM_secondaire,GRP_PartageDRM_secondaire,14
Partages_NRCF_ProjetETP,Partages_NRCF_ProjetETP,45
GRP_S0017,GRP_S0017,6
GRP_s0017m2,GRP_s0017m2,0
GRP_s0017m3,GRP_s0017m3,0
GRP_S0035,GRP_S0035,1
GRP_S0038,GRP_S0038,1
GRP_S0071,GRP_S0071,14
GRP_S0072,GRP_S0072,0
GRP_S0076,GRP_S0076,18
GRP_S0077,GRP_S0077,5
GRP_S0080,GRP_S0080,25
GRP_S0081,GRP_S0081,7
GRP_S0083,GRP_S0083,1
GRP_S0085,GRP_S0085,13
GRP_s0231,GRP_s0231,1
GRP_S0250,GRP_S0250,2
GRP_S0302,GRP_S0302,1
GRP_S0401,GRP_S0401,4
GRP_S0411,GRP_S0411,23
GRP_S0454,GRP_S0454,2
GRP_S0471,GRP_S0471,2
GRP_S0474,GRP_S0474,0
_GRP_S0475,GRP_S0475,0
GRP_S0490b,GRP_S0490b,2
GRP_Sah,GRP_Sah,1
GRP_Sipar,GRP_Sipar,2
GRP_Survbloc,GRP_Survbloc,1
GRP_Survcar,GRP_Survcar,1
GRP_Survdige,GRP_Survdige,1
GRP_Survurg,GRP_Survurg,0
Partages_AccréditationLaboratoires_Patho,Partages_AccréditationLaboratoires_Patho,4
Partages_AccréditationLaboratoires_Commun,Partages_AccréditationLaboratoires_Commun,4
Medt_Urgences_Service_RechercheClinique,Medt_Urgences_Service_RechercheClinique,3
Partages_Projets_GTT_EQUITIME_Matrices Cycles CGDSàValider_RW,Partages_Projets_GTT_EQUITIME_Matrices Cycles CGDSàValider_RW,1
Divers_S0490_CDI_LogifsiBib,Divers_S0490_CDI_LogifsiBib,15
Partages_Blocs-Sterilisation_Sterilisation_AO-Sterilisation_RO,Partages_Blocs-Sterilisation_Sterilisation_AO-Sterilisation_RO,3
CRIII_3770_Soignants,CRIII_3770_Soignants,8
Partages_Projets_HrPath,Partages_Projets_HrPath,2
Partages_Blocs-Sterilisation_Visceral,Partages_Blocs-Sterilisation_Visceral,2
Partages_Blocs-Sterilisation_Ortho,Partages_Blocs-Sterilisation_Ortho,2
Partages_Blocs-Sterilisation_Obst,Partages_Blocs-Sterilisation_Obst,1
Partages_Cadres704-707,Partages_Cadres704-707,2
Partages_AccréditationLaboratoires,Partages_AccréditationLaboratoires,2
Partages_CadresDeSanté,Partages_CadresDeSanté,5
Partages_ICADE,Partages_ICADE,1
Partages_Blocs-Sterilisation,Partages_Blocs-Sterilisation,7
Partages_NChpg_AmoEquipement_Archives2014-5-6_2015_1507Pré-Prog,Partages_NChpg_AmoEquipement_Archives2014-5-6_2015_1507Pré-Prog,3
